store_id,store_name,store_type,city,state,region,store_size_sqft,opening_date,is_active
STR0102,Ahmedabad Flagship 102,Express,Ahmedabad,Gujarat,West,14931,2013-03-26,1
STR0103,Ahmedabad Superstore 103,Express,Ahmedabad,Gujarat,West,2645,2018-04-28,1
STR0104,Ahmedabad Flagship 104,Flagship,Ahmedabad,Gujarat,West,5369,2017-11-17,1
STR0105,Surat Flagship 105,Express,Surat,Gujarat,West,11397,2017-10-27,1
STR0106,Surat Express 106,Express,Surat,Gujarat,West,18952,2017-03-24,1
STR0107,Surat Flagship 107,Express,Surat,Gujarat,West,9493,2013-11-09,1
STR0108,Surat Superstore 108,Standalone,Surat,Gujarat,West,21537,2013-05-15,1
STR0109,Surat Flagship 109,Superstore,Surat,Gujarat,West,8683,2014-06-11,1
STR0110,Surat Mall Outlet 110,Mall Outlet,Surat,Gujarat,West,5534,2012-04-13,1
STR0111,Surat Flagship 111,Express,Surat,Gujarat,West,3104,2016-07-11,1
STR0112,Surat Express 112,Express,Surat,Gujarat,West,14624,2010-04-27,1
STR0113,Vadodara Flagship 113,Express,Vadodara,Gujarat,West,20139,2021-01-28,1
STR0114,Vadodara Express 114,Express,Vadodara,Gujarat,West,16629,2010-06-10,1
STR0115,Vadodara Flagship 115,Mall Outlet,Vadodara,Gujarat,West,18636,2021-12-18,1
STR0116,Vadodara Express 116,Superstore,Vadodara,Gujarat,West,16998,2013-05-14,1
STR0117,Vadodara Express 117,Mall Outlet,Vadodara,Gujarat,West,13742,2015-11-22,1
STR0118,Vadodara Superstore 118,Express,Vadodara,Gujarat,West,16315,2012-10-18,1
STR0119,Vadodara Superstore 119,Express,Vadodara,Gujarat,West,20395,2019-11-01,1
STR0120,Vadodara Standalone 120,Express,Vadodara,Gujarat,West,5446,2017-03-02,1
STR0121,Kolkata Standalone 121,Express,Kolkata,West Bengal,East,11726,2013-08-11,1
STR0122,Kolkata Superstore 122,Express,Kolkata,West Bengal,East,10117,2016-05-27,1
STR0123,Kolkata Standalone 123,Mall Outlet,Kolkata,West Bengal,East,1635,2021-09-02,1
STR0124,Kolkata Superstore 124,Mall Outlet,Kolkata,West Bengal,East,22303,2011-11-02,1
STR0125,Kolkata Mall Outlet 125,Mall Outlet,Kolkata,West Bengal,East,7532,2010-10-05,1
STR0126,Kolkata Mall Outlet 126,Express,Kolkata,West Bengal,East,16517,2020-02-19,1
STR0127,Kolkata Flagship 127,Flagship,Kolkata,West Bengal,East,23920,2014-06-06,1
STR0128,Kolkata Superstore 128,Flagship,Kolkata,West Bengal,East,24539,2011-03-10,1
STR0129,Bhubaneswar Express 129,Express,Bhubaneswar,Odisha,East,1841,2014-10-22,1
STR0130,Bhubaneswar Mall Outlet 130,Superstore,Bhubaneswar,Odisha,East,24429,2013-02-19,1
STR0131,Bhubaneswar Superstore 131,Flagship,Bhubaneswar,Odisha,East,23845,2014-11-20,1
STR0132,Bhubaneswar Standalone 132,Superstore,Bhubaneswar,Odisha,East,2345,2015-09-14,1
STR0133,Bhubaneswar Express 133,Express,Bhubaneswar,Odisha,East,17579,2020-06-01,1
STR0134,Bhubaneswar Express 134,Mall Outlet,Bhubaneswar,Odisha,East,4458,2016-06-21,1
STR0135,Bhubaneswar Standalone 135,Flagship,Bhubaneswar,Odisha,East,15270,2012-12-17,1
STR0136,Bhubaneswar Flagship 136,Standalone,Bhubaneswar,Odisha,East,18634,2017-08-14,1
STR0137,Patna Express 137,Mall Outlet,Patna,Bihar,East,11561,2013-02-09,1
STR0138,Patna Express 138,Standalone,Patna,Bihar,East,16227,2019-10-22,1
STR0139,Patna Express 139,Mall Outlet,Patna,Bihar,East,1940,2017-06-06,1
STR0140,Patna Flagship 140,Standalone,Patna,Bihar,East,12626,2014-06-09,1
STR0141,Patna Superstore 141,Mall Outlet,Patna,Bihar,East,19212,2010-09-07,1
STR0142,Patna Mall Outlet 142,Express,Patna,Bihar,East,24595,2016-08-18,1
STR0143,Patna Superstore 143,Superstore,Patna,Bihar,East,22164,2021-08-15,1
STR0144,Patna Mall Outlet 144,Standalone,Patna,Bihar,East,10641,2013-07-23,1
STR0145,Guwahati Flagship 145,Flagship,Guwahati,Assam,East,22756,2019-06-16,1
STR0146,Guwahati Standalone 146,Standalone,Guwahati,Assam,East,12264,2016-12-18,1
STR0147,Guwahati Standalone 147,Mall Outlet,Guwahati,Assam,East,24031,2017-05-10,1
STR0148,Guwahati Superstore 148,Flagship,Guwahati,Assam,East,4953,2021-04-11,1
STR0149,Guwahati Express 149,Standalone,Guwahati,Assam,East,23615,2012-04-07,1
STR0150,Guwahati Standalone 150,Superstore,Guwahati,Assam,East,24743,2019-09-20,1
STR0151,Guwahati Mall Outlet 151,Standalone,Guwahati,Assam,East,7360,2014-04-12,1
STR0152,Guwahati Standalone 152,Superstore,Guwahati,Assam,East,1463,2021-09-05,1
STR0153,Ranchi Mall Outlet 153,Express,Ranchi,Jharkhand,East,2786,2018-05-23,1
STR0154,Ranchi Express 154,Express,Ranchi,Jharkhand,East,4361,2010-10-10,1
STR0155,Ranchi Standalone 155,Express,Ranchi,Jharkhand,East,15433,2015-03-02,1
STR0156,Ranchi Superstore 156,Flagship,Ranchi,Jharkhand,East,4738,2011-07-16,1
STR0157,Ranchi Mall Outlet 157,Flagship,Ranchi,Jharkhand,East,21625,2020-01-05,1
STR0158,Ranchi Flagship 158,Express,Ranchi,Jharkhand,East,10956,2011-04-04,1
STR0159,Ranchi Flagship 159,Express,Ranchi,Jharkhand,East,20867,2019-10-08,1
STR0160,Ranchi Flagship 160,Express,Ranchi,Jharkhand,East,15762,2017-05-28,1
STR0161,Bhopal Flagship 161,Superstore,Bhopal,Madhya Pradesh,Central,11006,2019-10-02,1
STR0162,Bhopal Superstore 162,Mall Outlet,Bhopal,Madhya Pradesh,Central,7808,2020-04-09,1
STR0163,Bhopal Mall Outlet 163,Superstore,Bhopal,Madhya Pradesh,Central,8859,2012-09-03,1
STR0164,Bhopal Express 164,Standalone,Bhopal,Madhya Pradesh,Central,14386,2017-12-20,1
STR0165,Bhopal Standalone 165,Express,Bhopal,Madhya Pradesh,Central,2069,2013-05-23,1
STR0166,Bhopal Flagship 166,Mall Outlet,Bhopal,Madhya Pradesh,Central,3332,2020-04-09,1
STR0167,Bhopal Mall Outlet 167,Standalone,Bhopal,Madhya Pradesh,Central,14930,2011-09-08,1
STR0168,Bhopal Standalone 168,Flagship,Bhopal,Madhya Pradesh,Central,5660,2011-01-06,1
STR0169,Indore Express 169,Standalone,Indore,Madhya Pradesh,Central,19651,2014-08-04,1
STR0170,Indore Flagship 170,Express,Indore,Madhya Pradesh,Central,23928,2016-05-17,1
STR0171,Indore Express 171,Standalone,Indore,Madhya Pradesh,Central,15344,2011-10-02,1
STR0172,Indore Mall Outlet 172,Flagship,Indore,Madhya Pradesh,Central,20782,2014-01-03,1
STR0173,Indore Standalone 173,Flagship,Indore,Madhya Pradesh,Central,20238,2010-11-27,1
STR0174,Indore Express 174,Standalone,Indore,Madhya Pradesh,Central,2318,2012-08-17,1
STR0175,Indore Express 175,Superstore,Indore,Madhya Pradesh,Central,6947,2019-07-21,1
STR0176,Indore Standalone 176,Superstore,Indore,Madhya Pradesh,Central,16401,2015-07-11,1
STR0177,Nagpur Express 177,Standalone,Nagpur,Maharashtra,Central,6269,2015-07-23,1
STR0178,Nagpur Express 178,Superstore,Nagpur,Maharashtra,Central,22711,2016-09-02,1
STR0179,Nagpur Express 179,Flagship,Nagpur,Maharashtra,Central,11306,2014-06-04,1
STR0180,Nagpur Express 180,Superstore,Nagpur,Maharashtra,Central,1037,2020-09-15,1
STR0181,Nagpur Express 181,Express,Nagpur,Maharashtra,Central,7146,2018-06-20,1
STR0182,Nagpur Mall Outlet 182,Standalone,Nagpur,Maharashtra,Central,2691,2013-05-18,1
STR0183,Nagpur Superstore 183,Flagship,Nagpur,Maharashtra,Central,15356,2021-08-04,1
STR0184,Nagpur Flagship 184,Superstore,Nagpur,Maharashtra,Central,8841,2021-03-10,1
STR0185,Raipur Superstore 185,Express,Raipur,Chhattisgarh,Central,19096,2016-02-08,1
STR0186,Raipur Standalone 186,Flagship,Raipur,Chhattisgarh,Central,4849,2020-03-16,1
STR0187,Raipur Express 187,Express,Raipur,Chhattisgarh,Central,24114,2014-07-27,1
STR0188,Raipur Express 188,Mall Outlet,Raipur,Chhattisgarh,Central,8986,2017-09-05,1
STR0189,Raipur Superstore 189,Standalone,Raipur,Chhattisgarh,Central,20640,2018-12-05,1
STR0190,Raipur Superstore 190,Standalone,Raipur,Chhattisgarh,Central,14596,2015-09-09,1
STR0191,Raipur Express 191,Mall Outlet,Raipur,Chhattisgarh,Central,24791,2014-10-19,1
STR0192,Raipur Standalone 192,Flagship,Raipur,Chhattisgarh,Central,15632,2018-08-12,1
STR0193,Jabalpur Mall Outlet 193,Mall Outlet,Jabalpur,Madhya Pradesh,Central,18807,2016-08-11,1
STR0194,Jabalpur Express 194,Superstore,Jabalpur,Madhya Pradesh,Central,19736,2016-04-28,1
STR0195,Jabalpur Express 195,Express,Jabalpur,Madhya Pradesh,Central,11426,2021-08-23,1
STR0196,Jabalpur Superstore 196,Mall Outlet,Jabalpur,Madhya Pradesh,Central,22747,2020-03-16,1
STR0197,Jabalpur Superstore 197,Express,Jabalpur,Madhya Pradesh,Central,17459,2019-06-28,1
STR0198,Jabalpur Mall Outlet 198,Express,Jabalpur,Madhya Pradesh,Central,4267,2018-08-01,1
STR0199,Jabalpur Standalone 199,Standalone,Jabalpur,Madhya Pradesh,Central,22455,2012-02-16,1
STR0200,Jabalpur Superstore 200,Standalone,Jabalpur,Madhya Pradesh,Central,21422,2021-07-21,1
